Song ID,Title,Artist,Album,Genre,Release Year,Duration (sec),Popularity,Streams/Views (Millions),Language,Country,Platform,Playlist Name,Listener Age Group,User Rating,Comments Count
PAN_0,Song 0,Artist 0,Album 0,Country,2009,344,22,49.39,French,Germany,Pandora,Playlist 0,35-44,2.76,9970
PAN_1,Song 1,Artist 1,Album 1,Jazz,2014,362,57,28.8,Spanish,Canada,Pandora,Playlist 1,19-24,3.83,981
PAN_2,Song 2,Artist 2,Album 2,Classical,2001,262,84,65.48,English,Canada,Pandora,Playlist 2,25-34,3.35,9457
PAN_3,Song 3,Artist 3,Album 3,Country,1998,160,27,29.81,Korean,Brazil,Pandora,Playlist 3,19-24,2.27,5170
PAN_4,Song 4,Artist 4,Album 4,Hip-Hop,2020,377,41,422.66,Spanish,Germany,Pandora,Playlist 4,45+,3.22,8935
PAN_5,Song 5,Artist 5,Album 5,Classical,1972,404,80,30.47,Japanese,USA,Pandora,Playlist 5,13-18,3.92,2431
PAN_6,Song 6,Artist 6,Album 6,Classical,2009,224,34,136.56,Other,Germany,Pandora,Playlist 6,19-24,1.17,8566
PAN_7,Song 7,Artist 7,Album 7,Country,2003,321,32,52.77,Spanish,India,Pandora,Playlist 7,35-44,1.04,9945
PAN_8,Song 8,Artist 8,Album 8,Rock,2009,385,90,148.42,Other,Brazil,Pandora,Playlist 8,25-34,2.83,6349
PAN_9,Song 9,Artist 9,Album 9,Hip-Hop,1996,329,89,46.19,German,Germany,Pandora,Playlist 9,25-34,1.53,3897
PAN_10,Song 10,Artist 10,Album 10,Country,1982,170,66,334.33,English,USA,Pandora,Playlist 10,13-18,3.66,7548
PAN_11,Song 11,Artist 11,Album 11,Hip-Hop,2014,237,12,67.53,German,Germany,Pandora,Playlist 11,13-18,1.86,1991
PAN_12,Song 12,Artist 12,Album 12,Hip-Hop,2002,320,40,426.07,German,Canada,Pandora,Playlist 12,19-24,2.73,2928
PAN_13,Song 13,Artist 13,Album 13,Classical,1975,158,73,408.78,French,UK,Pandora,Playlist 13,45+,1.79,5430
PAN_14,Song 14,Artist 14,Album 14,Jazz,1993,147,76,7.82,Korean,Canada,Pandora,Playlist 14,35-44,3.19,3446
PAN_15,Song 15,Artist 15,Album 15,Hip-Hop,1988,378,90,447.97,Spanish,Australia,Pandora,Playlist 15,25-34,1.46,6775
PAN_16,Song 16,Artist 16,Album 16,EDM,1985,203,73,15.44,English,UK,Pandora,Playlist 16,13-18,1.09,8783
PAN_17,Song 17,Artist 17,Album 17,Classical,2009,274,10,120.58,Japanese,Australia,Pandora,Playlist 17,35-44,1.2,5161
PAN_18,Song 18,Artist 18,Album 18,Rock,1997,236,96,17.16,Korean,Germany,Pandora,Playlist 18,45+,4.82,2569
PAN_19,Song 19,Artist 19,Album 19,Jazz,2002,121,98,168.59,Korean,India,Pandora,Playlist 19,25-34,1.57,2872
PAN_20,Song 20,Artist 20,Album 20,EDM,2017,212,48,257.42,English,Germany,Pandora,Playlist 20,25-34,3.83,9368
PAN_21,Song 21,Artist 21,Album 21,EDM,2010,285,20,398.53,Korean,USA,Pandora,Playlist 21,45+,1.27,1335
PAN_22,Song 22,Artist 22,Album 22,Rock,1982,415,39,169.65,French,Germany,Pandora,Playlist 22,25-34,1.43,5413
PAN_23,Song 23,Artist 23,Album 23,Jazz,2012,377,60,353.04,Korean,UK,Pandora,Playlist 23,45+,3.04,112
PAN_24,Song 24,Artist 24,Album 24,Classical,2014,200,66,94.56,French,Canada,Pandora,Playlist 24,25-34,2.86,3772
PAN_25,Song 25,Artist 25,Album 25,Pop,1994,387,65,375.55,Spanish,India,Pandora,Playlist 25,19-24,4.81,5294
PAN_26,Song 26,Artist 26,Album 26,Jazz,2022,354,51,118.76,Spanish,Australia,Pandora,Playlist 26,45+,4.78,1987
PAN_27,Song 27,Artist 27,Album 27,Rock,2011,332,36,72.63,German,Germany,Pandora,Playlist 27,35-44,4.12,4829
