Song ID,Title,Artist,Album,Genre,Release Year,Duration (sec),Popularity,Streams/Views (Millions),Language,Country,Platform,Playlist Name,Listener Age Group,User Rating,Comments Count
YOU_0,Song 0,Artist 0,Album 0,Country,2009,344,22,49.39,French,Germany,YouTube,Playlist 0,35-44,2.76,9970
YOU_1,Song 1,Artist 1,Album 1,Jazz,2014,362,57,28.8,Spanish,Canada,YouTube,Playlist 1,19-24,3.83,981
YOU_2,Song 2,Artist 2,Album 2,Classical,2001,262,84,65.48,English,Canada,YouTube,Playlist 2,25-34,3.35,9457
YOU_3,Song 3,Artist 3,Album 3,Country,1998,160,27,29.81,Korean,Brazil,YouTube,Playlist 3,19-24,2.27,5170
YOU_4,Song 4,Artist 4,Album 4,Hip-Hop,2020,377,41,422.66,Spanish,Germany,YouTube,Playlist 4,45+,3.22,8935
YOU_5,Song 5,Artist 5,Album 5,Classical,1972,404,80,30.47,Japanese,USA,YouTube,Playlist 5,13-18,3.92,2431
YOU_6,Song 6,Artist 6,Album 6,Classical,2009,224,34,136.56,Other,Germany,YouTube,Playlist 6,19-24,1.17,8566
YOU_7,Song 7,Artist 7,Album 7,Country,2003,321,32,52.77,Spanish,India,YouTube,Playlist 7,35-44,1.04,9945
YOU_8,Song 8,Artist 8,Album 8,Rock,2009,385,90,148.42,Other,Brazil,YouTube,Playlist 8,25-34,2.83,6349
YOU_9,Song 9,Artist 9,Album 9,Hip-Hop,1996,329,89,46.19,German,Germany,YouTube,Playlist 9,25-34,1.53,3897
YOU_10,Song 10,Artist 10,Album 10,Country,1982,170,66,334.33,English,USA,YouTube,Playlist 10,13-18,3.66,7548
YOU_11,Song 11,Artist 11,Album 11,Hip-Hop,2014,237,12,67.53,German,Germany,YouTube,Playlist 11,13-18,1.86,1991
YOU_12,Song 12,Artist 12,Album 12,Hip-Hop,2002,320,40,426.07,German,Canada,YouTube,Playlist 12,19-24,2.73,2928
YOU_13,Song 13,Artist 13,Album 13,Classical,1975,158,73,408.78,French,UK,YouTube,Playlist 13,45+,1.79,5430
YOU_14,Song 14,Artist 14,Album 14,Jazz,1993,147,76,7.82,Korean,Canada,YouTube,Playlist 14,35-44,3.19,3446
YOU_15,Song 15,Artist 15,Album 15,Hip-Hop,1988,378,90,447.97,Spanish,Australia,YouTube,Playlist 15,25-34,1.46,6775
YOU_16,Song 16,Artist 16,Album 16,EDM,1985,203,73,15.44,English,UK,YouTube,Playlist 16,13-18,1.09,8783
YOU_17,Song 17,Artist 17,Album 17,Classical,2009,274,10,120.58,Japanese,Australia,YouTube,Playlist 17,35-44,1.2,5161
YOU_18,Song 18,Artist 18,Album 18,Rock,1997,236,96,17.16,Korean,Germany,YouTube,Playlist 18,45+,4.82,2569
YOU_19,Song 19,Artist 19,Album 19,Jazz,2002,121,98,168.59,Korean,India,YouTube,Playlist 19,25-34,1.57,2872
YOU_20,Song 20,Artist 20,Album 20,EDM,2017,212,48,257.42,English,Germany,YouTube,Playlist 20,25-34,3.83,9368
YOU_21,Song 21,Artist 21,Album 21,EDM,2010,285,20,398.53,Korean,USA,YouTube,Playlist 21,45+,1.27,1335
YOU_22,Song 22,Artist 22,Album 22,Rock,1982,415,39,169.65,French,Germany,YouTube,Playlist 22,25-34,1.43,5413
YOU_23,Song 23,Artist 23,Album 23,Jazz,2012,377,60,353.04,Korean,UK,YouTube,Playlist 23,45+,3.04,112
YOU_24,Song 24,Artist 24,Album 24,Classical,2014,200,66,94.56,French,Canada,YouTube,Playlist 24,25-34,2.86,3772
YOU_25,Song 25,Artist 25,Album 25,Pop,1994,387,65,375.55,Spanish,India,YouTube,Playlist 25,19-24,4.81,5294
YOU_26,Song 26,Artist 26,Album 26,Jazz,2022,354,51,118.76,Spanish,Australia,YouTube,Playlist 26,45+,4.78,1987
YOU_27,Song 27,Artist 27,Album 27,Rock,2011,332,36,72.63,German,Germany,YouTube,Playlist 27,35-44,4.12,4829
YOU_28,Song 28,Artist 28,Album 28,EDM,2005,181,24,93.52,French,Germany,YouTube,Playlist 28,19-24,3.41,1985
YOU_29,Song 29,Artist 29,Album 29,Classical,1996,168,27,91.85,Japanese,Canada,YouTube,Playlist 29,35-44,2.82,5091
YOU_30,Song 30,Artist 30,Album 30,Jazz,2007,246,2,256.92,Spanish,India,YouTube,Playlist 30,25-34,2.42,252
YOU_31,Song 31,Artist 31,Album 31,Pop,1976,342,31,422.55,Korean,Brazil,YouTube,Playlist 31,35-44,4.79,8315
YOU_32,Song 32,Artist 32,Album 32,Pop,1974,398,57,40.72,English,Australia,YouTube,Playlist 32,19-24,3.41,9428
YOU_33,Song 33,Artist 33,Album 33,Hip-Hop,2012,413,78,353.77,English,Germany,YouTube,Playlist 33,45+,3.32,623
YOU_34,Song 34,Artist 34,Album 34,Hip-Hop,2014,403,66,327.52,Other,Germany,YouTube,Playlist 34,13-18,1.93,3156
YOU_35,Song 35,Artist 35,Album 35,Country,2020,396,29,436.39,French,Brazil,YouTube,Playlist 35,35-44,1.19,3389
